"";"Sample_name";"D0";"D1";"sd.D1";"D2";"sd.D2";"Evenness";"Organisation";"CV"
"HIGH_H06_91_t1_5000x.fcs";"HIGH_H06_91_t1_5000x.fcs";11344;4296,2699035651;49,1219746946227;2770,97259944624;62,9907090637511;0,285563547231197;0,0642734936520378;176,304818965874
"HIGH_H06_91_t5_5000x.fcs";"HIGH_H06_91_t5_5000x.fcs";9565;2917,78366403914;32,0837812473002;1869,77886222095;34,5142946954442;0,230721350236647;0,0739992506002756;202,905438460569
"HIGH_H07_68_t1_5000x.fcs";"HIGH_H07_68_t1_5000x.fcs";11867;4292,49732965138;57,4142532427801;2738,09496966606;49,3338385397837;0,274157892520055;0,0628378584393079;183,538628661267
"HIGH_H07_68_t5_5000x.fcs";"HIGH_H07_68_t5_5000x.fcs";10082;3150,99561243258;38,1852294890244;1984,80736392141;38,1320009531922;0,237526683533737;0,0665014174386968;202,086065860577
"HIGH_H07_91_t1_5000x.fcs";"HIGH_H07_91_t1_5000x.fcs";11424;3989,46978565882;52,8352235929913;2393,18985431565;40,9764965787214;0,269052458838623;0,0581250114016195;194,750399931343
"HIGH_H07_91_t5_5000x.fcs";"HIGH_H07_91_t5_5000x.fcs";9032;2757,06819117438;28,7597765299345;1719,75658131517;30,0737339033655;0,230588397343841;0,0729981645322094;205,989643722781
"HIGH_H08_68_t1_5000x.fcs";"HIGH_H08_68_t1_5000x.fcs";11036;3916,29631346405;53,5613551177433;2319,10997108561;41,30138668516;0,272960038924066;0,0589147364892728;193,394705643913
"HIGH_H08_68_t5_5000x.fcs";"HIGH_H08_68_t5_5000x.fcs";10100;3226,00408227796;29,2879659439678;2077,99888618737;37,3932041175764;0,2405344995806;0,0687323086560141;195,659747745344
"HIGH_H08_91_t1_5000x.fcs";"HIGH_H08_91_t1_5000x.fcs";11191;4060,48297264365;51,7021672999895;2549,53925940823;38,7393941252971;0,276731203896431;0,0642620672155869;183,932740415535
"HIGH_H08_91_t5_5000x.fcs";"HIGH_H08_91_t5_5000x.fcs";9132;3077,63206450073;23,1377187175564;2008,858660689;26,5733956537861;0,251819952717355;0,0714180744035645;188,285121497083
"HIGH_H09_69_t1_5000x.fcs";"HIGH_H09_69_t1_5000x.fcs";11367;4077,8778082897;50,5182904848706;2460,07398783642;37,1173759288771;0,274809152859495;0,0638903631937632;190,20586811227
"HIGH_H09_69_t5_5000x.fcs";"HIGH_H09_69_t5_5000x.fcs";9316;2899,70079978068;38,4486511859373;1801,34421416458;32,6585480623983;0,235859615385645;0,066710240335929;204,713441882578
"HIGH_H09_92_t1_5000x.fcs";"HIGH_H09_92_t1_5000x.fcs";11443;3943,3968477046;56,0588993077959;2320,97089832394;34,5107969722819;0,265112461842188;0,0625203728706386;198,208855607087
"HIGH_H09_92_t5_5000x.fcs";"HIGH_H09_92_t5_5000x.fcs";9369;2843,59733579684;34,7677780913474;1815,41998202983;33,2683668595746;0,229724651567101;0,0740307676758004;204,699899175789
"HIGH_H10_69_t1_5000x.fcs";"HIGH_H10_69_t1_5000x.fcs";11247;4227,95191390287;46,3241694551338;2690,01609821697;68,1052480851037;0,283434925452283;0,0650050503257405;177,516088108887
"HIGH_H10_69_t5_5000x.fcs";"HIGH_H10_69_t5_5000x.fcs";10437;2902,51580602787;37,7780325168948;1691,74761003166;36,5050593987267;0,21708857204288;0,0592203742720768;227,601452281008
"HIGH_H10_92_t1_5000x.fcs";"HIGH_H10_92_t1_5000x.fcs";10976;4035,24335293975;49,1421572674989;2513,14380743758;40,9784108555573;0,280124612319795;0,063710989561641;184,195491269715
"HIGH_H10_92_t5_5000x.fcs";"HIGH_H10_92_t5_5000x.fcs";10073;3476,0496757681;45,3225081887409;2283,6447519883;47,2901453431365;0,258502933693117;0,069022217944023;184,893158413887
"HIGH_H11_69_t1_5000x.fcs";"HIGH_H11_69_t1_5000x.fcs";11911;4364,0736857122;44,7915836316837;2754,84481815314;61,149239362003;0,277755928057283;0,0673446940074914;181,819839947902
"HIGH_H11_69_t5_5000x.fcs";"HIGH_H11_69_t5_5000x.fcs";8561;2781,80429768967;44,0081577299695;1772,61436986459;35,7592593863167;0,244487494673685;0,0661721128654199;194,863113637147
"HIGH_H11_92_t1_5000x.fcs";"HIGH_H11_92_t1_5000x.fcs";11618;3922,19949807977;49,3666580950183;2314,42631327309;31,6539792504017;0,260538452623917;0,059951230232286;200,379888069562
"HIGH_H11_92_t5_5000x.fcs";"HIGH_H11_92_t5_5000x.fcs";8854;3242,04354854351;41,1853764142439;2141,36318974373;49,9863010110621;0,272878064133551;0,0743344188170328;177,314864345214
"HIGH_H12_69_t1_5000x.fcs";"HIGH_H12_69_t1_5000x.fcs";10879;4008,06776147791;43,0693480490268;2711,02469449939;48,7324928978778;0,274436967109846;0,072608786296539;173,478613122921
"HIGH_H12_69_t5_5000x.fcs";"HIGH_H12_69_t5_5000x.fcs";8739;2940,23975501281;34,5971108489511;1921,59694752684;38,7559756871394;0,252674708401782;0,0673439691944445;189,113554981222
"HIGH_H12_92_t1_5000x.fcs";"HIGH_H12_92_t1_5000x.fcs";11554;4322,38107724099;50,4962406201466;2811,67066326608;52,4677425539818;0,281306971370032;0,0610211560865734;176,074385792542
"HIGH_H12_92_t5_5000x.fcs";"HIGH_H12_92_t5_5000x.fcs";9726;3261,0656109226;38,331144956538;2063,40651881551;41,6934151057757;0,252306422895792;0,0628968284353405;192,066857558031
"LOW_F05_15_t1_5000x.fcs";"LOW_F05_15_t1_5000x.fcs";10732;3177,94559700827;38,5741861131649;1913,96538403142;28,8401150348908;0,227762580543002;0,0683237569717756;214,766809763283
"LOW_F05_15_t5_5000x.fcs";"LOW_F05_15_t5_5000x.fcs";13543;4259,5740205875;43,4542468583408;2772,22942249646;39,7013852919333;0,235984623102232;0,079379595842819;197,254084571466
"LOW_F06_15_t1_5000x.fcs";"LOW_F06_15_t1_5000x.fcs";11912;3991,02771476762;37,4005614681217;2522,99875797293;40,4075230566997;0,25395523477256;0,0708787335298795;192,626601997595
"LOW_F06_15_t5_5000x.fcs";"LOW_F06_15_t5_5000x.fcs";13922;4947,75705313424;39,1415982654233;3184,9965157554;45,1027571317764;0,267328498413046;0,0672208824666234;183,37061698818
"LOW_F07_15_t1_5000x.fcs";"LOW_F07_15_t1_5000x.fcs";11505;3330,86218705706;27,691912799917;2037,05047526358;29,8212882330309;0,222120128744568;0,0717463242725939;216,423915345992
"LOW_F07_15_t5_5000x.fcs";"LOW_F07_15_t5_5000x.fcs";13414;4461,00164165482;37,4009278231535;2930,8961627408;36,1213921414919;0,248784679020317;0,0826095518527105;189,47853949874
"LOW_F08_15_t1_5000x.fcs";"LOW_F08_15_t1_5000x.fcs";12140;4155,61684472088;52,8872495436221;2621,4881519313;40,2213593501703;0,259151286970699;0,0633436607373069;190,741061791524
